title,date,url,author,section
 Como o governo Bolsonaro chegou aos seus piores dias (até agora),"
21 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/como-o-governo-bolsonaro-chegou-aos-seus-piores-dias-ate-agora/,Thais Reis Oliveira,Política
 Conselho de Damares Alves para quem é pai de menina: fuja do Brasil!,"
15 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/conselho-de-damares-alves-para-quem-e-pai-de-menina-fuja-do-brasil/,Redação,Política
 Seis pontos mal explicados no decreto pró-armas de Bolsonaro,"
15 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/seis-pontos-mal-explicados-no-decreto-pro-armas-de-bolsonaro/,Thais Reis Oliveira,Política
"“Ouço qualquer ministro, até a Damares”, diz Bolsonaro","
22 de março de 2019 ",https://www.cartacapital.com.br/politica/ouco-qualquer-ministro-ate-a-damares-diz-bolsonaro/,Redação,Política
" Doria quer manifestação sem máscaras, mas mantém PMs sem identificação","
22 de janeiro de 2019 ",https://www.cartacapital.com.br/sociedade/doria-quer-manifestacao-sem-mascaras-mas-mantem-pms-sem-identificacao/,Marina Gama Cubas,Sociedade
 Apertem os cintos: 2019 deu a largada!,"
7 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/apertem-os-cintos-2019-deu-a-largada/,Rosane Borges,Política
"Movimento Gay quer tirar Bíblia de circulação no Brasil, diz Damares","
15 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/movimento-gay-quer-tirar-biblia-de-circulacao-no-brasil-diz-damares/,Vinicius Segalla,Política
 Damares: “O Movimento Gay não é gay. É ideológico e partidário”,"
1 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/damares-o-movimento-gay-nao-e-gay-e-ideologico-e-partidario/,Vinicius Segalla,Política
 A submissão de Toffoli ao bolsonarismo,"
21 de janeiro de 2019 ",https://www.cartacapital.com.br/justica/a-submissao-de-toffoli-ao-bolsonarismo/,Gustavo Freire Barbosa,Justiça
"Lição para Damares: ser mulher no Brasil é duro, mas fugir não é saída","
8 de março de 2019 ",https://www.cartacapital.com.br/sociedade/licao-para-damares-ser-mulher-no-brasil-e-duro-mas-fugir-nao-e-saida/,Maria Paula Malheiros,Sociedade
 Toffoli valida decreto inconstitucional de Temer,"
17 de janeiro de 2019 ",https://www.cartacapital.com.br/economia/toffoli-valida-decreto-inconstitucional-de-temer/,Carlos Drummond,Economia
 Entenda por que pedido de Flávio Bolsonaro ao STF é um tiro no pé,"
17 de janeiro de 2019 ",https://www.cartacapital.com.br/justica/recurso-de-bolsonaro-ao-stf-pode-ser-tiro-no-pe-afirmam-juristas/,Brenno Tardelli,Justiça
Crise na Venezuela aumenta riscos para povo indígena na Amazônia,"
11 de março de 2019 ",https://www.cartacapital.com.br/politica/crise-na-venezuela-aumenta-riscos-para-povo-indigena-na-amazonia/,Deutsche Welle,Política
 Seis vezes em que a família Bolsonaro foi contra o foro especial,"
17 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/6-vezes-em-que-a-familia-bolsonaro-foi-contra-o-foro-privilegiado/,Thais Reis Oliveira,Política
Factoide pornô de Bolsonaro não convence nem sua milícia virtual,"
7 de março de 2019 ",https://www.cartacapital.com.br/politica/factoide-porno-de-bolsonaro-nao-convence-nem-sua-milicia-virtual/,Thais Reis Oliveira,Política
Comportamento de Bolsonaro na internet ajuda fábrica de fake news,"
12 de março de 2019 ",https://www.cartacapital.com.br/sociedade/comportamento-de-bolsonaro-na-internet-ajuda-fabrica-de-fake-news/,Deutsche Welle,Sociedade
"“O principal veiculador de fake news não é o povo, são os poderosos”","
14 de março de 2019 ",https://www.cartacapital.com.br/sociedade/o-principal-veiculador-de-fake-news-nao-e-o-povo-sao-os-poderosos/,RFI,Sociedade
"Após postar vídeo obsceno, Bolsonaro pergunta o que é “golden shower”","
6 de março de 2019 ",https://www.cartacapital.com.br/politica/apos-postar-video-obsceno-bolsonaro-pergunta-o-que-e-golden-shower/,Alexandre Putti,Política
Jurista que tirou Dilma vê motivo para impeachment de Bolsonaro,"
6 de março de 2019 ",https://www.cartacapital.com.br/politica/jurista-que-tirou-dilma-ve-motivo-para-impeachment-de-bolsonaro/,Alexandre Putti,Política
"“Bolsonaro é o próprio túmulo do Carnaval”, diz historiador","
2 de março de 2019 ",https://www.cartacapital.com.br/sociedade/bolsonaro-e-o-proprio-tumulo-do-carnaval-diz-historiador/,Fred Melo Paiva,Sociedade
Vídeo postado por Bolsonaro repercute até nos corredores da ONU,"
6 de março de 2019 ",https://www.cartacapital.com.br/politica/video-postado-por-bolsonaro-repercute-ate-nos-corredores-da-onu/,Alexandre Putti,Política
Deputado processará Bolsonaro por divulgar vídeo sem consentimento,"
6 de março de 2019 ",https://www.cartacapital.com.br/politica/deputado-processara-bolsonaro-por-divulgar-video-sem-consentimento/,Alexandre Putti,Política
Carnaval como forma de protesto: os blocos que pulam e fazem política,"
1 de março de 2019 ",https://www.cartacapital.com.br/sociedade/carnaval-como-forma-de-protesto-os-blocos-que-pulam-e-fazem-politica/,Alexandre Putti,Sociedade
